"converted_date","first_name","last_name","hire_date"
"1986-11-14","Eran","Cusworth","11/14/1986"
"1986-10-14","Bojan","Zallocco","10/14/1986"
"1986-05-18","Nevio","Demizu","5/18/1986"
"1986-07-03","Ziva","Vecchi","7/3/1986"
"1986-01-14","Mohit","Speek","1/14/1986"
"1986-02-13","Qunsheng","Speer","2/13/1986"
"1986-08-02","Dines","Encarnacion","8/2/1986"
"1986-05-28","Harngdar","Swick","5/28/1986"
"1986-12-20","Freyja","Uhrig","12/20/1986"
"1986-08-04","Zhenhua","Milicic","8/4/1986"
"1986-05-30","Bowen","Schmezko","5/30/1986"
"1986-04-13","Reuven","Munke","4/13/1986"
"1986-08-04","Stabislas","Domenig","8/4/1986"
"1986-09-18","Juichirou","Jumpertz","9/18/1986"
"1986-12-13","Juichirou","Ghelli","12/13/1986"
"1986-11-30","Shmuel","Georg","11/30/1986"
"1986-04-29","Xiadong","Bach","4/29/1986"
"1986-10-01","Guangming","Butterworth","10/1/1986"
"1986-08-10","Irene","Setia","8/10/1986"
"1986-06-08","Shuichi","Swiler","6/8/1986"
"1986-09-12","Terresa","Perez","9/12/1986"
"1986-05-30","Lidong","Borovoy","5/30/1986"
"1986-09-03","Teiji","Eickenmeyer","9/3/1986"
"1986-10-27","Baocai","Kroha","10/27/1986"
"1986-03-04","Morrie","Sridhar","3/4/1986"
"1986-12-28","Taegyun","Speckmann","12/28/1986"
"1986-07-19","Stabislas","McFarlin","7/19/1986"
"1986-04-07","Apostol","Ghelli","4/7/1986"
"1986-06-30","Khun","Kuszyk","6/30/1986"
"1986-02-21","Conor","Flanders","2/21/1986"
"1986-05-07","Radhakrishnan","Albarhamtoshy","5/7/1986"
"1986-04-10","Shigeu","Denna","4/10/1986"
"1986-01-22","Uta","Frolund","1/22/1986"
"1986-07-04","Zhiwei","Kaminger","7/4/1986"
"1986-09-25","Sven","Krider","9/25/1986"
"1986-11-09","Yannik","Vakili","11/9/1986"
"1986-01-31","Khatoun","Zeilberger","1/31/1986"
"1986-05-06","Fox","Erva","5/6/1986"
"1986-03-28","Huai","Birrer","3/28/1986"
"1986-01-09","Kristine","Litzler","1/9/1986"
"1986-09-19","Eirik","Farrel","9/19/1986"
"1986-05-05","Wayne","Levergood","5/5/1986"
"1986-01-28","Chrisa","Cullers","1/28/1986"
"1986-06-18","Manton","Perko","6/18/1986"
"1986-01-15","Etsuo","Ratzlaff","1/15/1986"
"1986-02-06","Odysseas","Erie","2/6/1986"
"1986-10-21","Ingmar","Lambe","10/21/1986"
"1986-07-11","Marin","Ashish","7/11/1986"
"1986-09-04","JiYoung","Delaune","9/4/1986"
"1986-01-19","Sandeepan","Sidou","1/19/1986"
"1986-09-02","Neven","Leivant","9/2/1986"
"1986-07-03","Sarita","Hofting","7/3/1986"
"1986-12-06","Kolar","Karunanithi","12/6/1986"
"1986-02-19","Shmuel","Impagliazzo","2/19/1986"
"1986-04-06","Bedrich","Delaune","4/6/1986"
"1986-08-05","Susanne","Asser","8/5/1986"
"1986-03-25","Syozo","Sommen","3/25/1986"
"1986-08-14","Ashish","Ventosa","8/14/1986"
"1986-08-21","Ingmar","Pollacia","8/21/1986"
"1986-03-10","Shrikanth","Ramalingam","3/10/1986"
"1986-04-17","Rimli","Mahnke","4/17/1986"
"1986-11-10","Adib","Chepyzhov","11/10/1986"
"1986-12-14","Florina","Kavvadias","12/14/1986"
"1986-11-07","Kiyomitsu","Bottner","11/7/1986"
"1986-08-05","Berni","Thorelli","8/5/1986"
"1986-06-27","Fumiya","Vilarrasa","6/27/1986"
"1986-11-05","Remzi","Speckmann","11/5/1986"
"1986-11-24","Georgi","Middleton","11/24/1986"
"1986-03-19","Zejun","Anandan","3/19/1986"
"1986-08-17","Kamakshi","Lipner","8/17/1986"
"1986-07-09","Hyuncheol","Chaudhuri","7/9/1986"
"1986-12-30","Chandrasekaran","Kaiser","12/30/1986"
"1986-10-05","Bedir","Bashian","10/5/1986"
"1986-06-05","Takahira","Spieker","6/5/1986"
"1986-08-04","Krassimir","Sgarro","8/4/1986"
"1986-06-12","Maya","Ghemri","6/12/1986"
"1986-04-29","Eishiro","Dichev","4/29/1986"
"1986-07-03","Hausi","Kambil","7/3/1986"
"1986-03-05","Feipei","Clouatre","3/5/1986"
"1986-12-12","Susumu","Kuszyk","12/12/1986"
"1986-06-11","Stein","Kulisch","6/11/1986"
"1986-05-29","Gen","Lundstrom","5/29/1986"
"1986-07-14","Reinhard","Serre","7/14/1986"
"1986-04-07","Alain","Fujisaki","4/7/1986"
"1986-04-23","Alain","Dratva","4/23/1986"
"1986-04-23","Claudi","Spieker","4/23/1986"
"1986-03-18","Dulce","Ebeling","3/18/1986"
"1986-03-23","Jayson","Perri","3/23/1986"
"1986-10-08","Steen","Hofman","10/8/1986"
"1986-07-11","Mads","Legleitner","7/11/1986"
"1986-10-23","Gio","Schauser","10/23/1986"
"1986-06-10","Takanari","Beznosov","6/10/1986"
"1986-11-01","Gita","Dichev","11/1/1986"
"1986-01-17","Barna","Mamelak","1/17/1986"
"1986-11-21","Junsik","Sinitsyn","11/21/1986"
"1986-03-03","Snehasis","Anily","3/3/1986"
"1986-10-17","Behnaam","Schwartzbauer","10/17/1986"
"1986-07-08","Shem","Petersohn","7/8/1986"
"1986-04-06","Mokhtar","Chiodo","4/6/1986"
"1986-03-17","Serif","Streit","3/17/1986"
"1986-08-26","Teiji","Marrakchi","8/26/1986"
"1986-09-16","Nathan","Denny","9/16/1986"
"1986-12-12","Hauke","Giaccio","12/12/1986"
"1986-03-29","Aral","Baik","3/29/1986"
"1986-09-29","Seongbin","Poupard","9/29/1986"
"1986-09-22","Tze","Chinin","9/22/1986"
"1986-03-01","Joydip","Terkki","3/1/1986"
"1986-09-03","Jeanne","Zlotek","9/3/1986"
"1986-05-15","Mikhail","Karner","5/15/1986"
"1986-04-20","Guenter","Schneeberger","4/20/1986"
"1986-08-27","Boriana","Mukaidono","8/27/1986"
"1986-09-13","Kristen","Avouris","9/13/1986"
"1986-01-03","Insup","Copas","1/3/1986"
"1986-11-20","Mayumi","Wuwongse","11/20/1986"
"1986-11-25","Dipankar","Riesenhuber","11/25/1986"
"1986-01-10","Shichao","Syrzycki","1/10/1986"
"1986-10-24","Marin","Sidje","10/24/1986"
"1986-05-07","Boguslaw","Luks","5/7/1986"
"1986-01-30","Shigeu","Kieras","1/30/1986"
"1986-02-02","Isamu","Kobuchi","2/2/1986"
"1986-12-24","Xuedong","Sgarro","12/24/1986"
"1986-06-15","Ghassan","Walston","6/15/1986"
"1986-11-13","Armond","Karunanithi","11/13/1986"
"1986-01-03","Munehiko","Beznosov","1/3/1986"
"1986-07-29","Kristen","Salverda","7/29/1986"
"1986-12-30","Kwok","Valiente","12/30/1986"
"1986-08-09","Mikhail","Salvesen","8/9/1986"
"1986-01-11","Jaques","Usery","1/11/1986"
"1986-11-15","Gunilla","Legleitner","11/15/1986"
"1986-01-29","Ibibia","Dayang","1/29/1986"
"1986-03-22","Richard","Godskesen","3/22/1986"
"1986-02-03","Rimli","Bellone","2/3/1986"
"1986-05-08","Hisao","Lodder","5/8/1986"
"1986-12-22","Pascal","Leslie","12/22/1986"
"1986-05-09","Jianwen","Baranowski","5/9/1986"
"1986-06-25","Gennadi","Beznosov","6/25/1986"
"1986-06-07","Serge","Sifakis","6/7/1986"
"1986-02-22","Yuuichi","Sadowski","2/22/1986"
"1986-11-02","Filipe","Ramamoorthy","11/2/1986"
"1986-06-11","Billur","Fiutem","6/11/1986"
"1986-01-01","Vidya","Dymetman","1/1/1986"
"1986-05-17","Sigeru","Langford","5/17/1986"
"1986-12-04","Marjo","Cools","12/4/1986"
"1986-10-06","Boriana","Wendorf","10/6/1986"
"1986-11-15","Shai","Olano","11/15/1986"
"1986-12-23","Boalin","Zhang","12/23/1986"
"1986-02-12","Mario","Narahari","2/12/1986"
"1986-01-28","Naftali","Syang","1/28/1986"
"1986-02-01","Lijia","Birta","2/1/1986"
"1986-02-26","Uli","Ranum","2/26/1986"
"1986-05-27","Gay","Khamsi","5/27/1986"
"1986-09-07","Arne","Geffroy","9/7/1986"
"1986-04-28","Mrinalini","Muntz","4/28/1986"
"1986-04-29","Feipei","Ligten","4/29/1986"
"1986-02-13","Charlene","Fabrizio","2/13/1986"
"1986-01-16","Kazuyasu","Pileggi","1/16/1986"
"1986-07-22","Temple","Zastre","7/22/1986"
"1986-11-20","Guther","Huxford","11/20/1986"
"1986-09-25","Yinghua","Petersohn","9/25/1986"
"1986-12-10","Steve","Munoz","12/10/1986"
"1986-08-01","Mads","Ramalingam","8/1/1986"
"1986-03-09","Xuedong","Fujisaki","3/9/1986"
"1986-12-08","Beshir","Serre","12/8/1986"
"1986-07-01","Ottavia","Perl","7/1/1986"
"1986-10-28","Abdelwaheb","Basawa","10/28/1986"
"1986-04-12","Xuedong","Rossi","4/12/1986"
"1986-09-08","Shawna","Leuchs","9/8/1986"
"1986-02-11","Harngdar","Gire","2/11/1986"
"1986-12-02","Constantine","Hedayat","12/2/1986"
"1986-03-24","Barton","Jenevein","3/24/1986"
"1986-09-10","Clyde","Perly","9/10/1986"
"1986-12-29","Yunming","Papsdorf","12/29/1986"
"1986-03-08","Tsz","Suppi","3/8/1986"
"1986-10-26","Georgi","Osgood","10/26/1986"
"1986-06-22","Sandeepan","Sessa","6/22/1986"
"1986-12-14","Ramzi","Thiria","12/14/1986"
"1986-10-05","Demos","Bahi","10/5/1986"
"1986-08-06","Boriana","Lunn","8/6/1986"
"1986-09-14","Ziya","Cronau","9/14/1986"
"1986-08-29","Lalit","Pellegrinelli","8/29/1986"
"1986-06-02","Sedat","Kuhnemann","6/2/1986"
"1986-10-06","Shay","Ranon","10/6/1986"
"1986-07-19","Mansur","Weiland","7/19/1986"
"1986-07-21","Zhanqiu","Merkl","7/21/1986"
"1986-06-23","Samphel","Tchuente","6/23/1986"
"1986-10-24","Gao","Zizka","10/24/1986"
"1986-02-02","Masali","Dichev","2/2/1986"
"1986-12-26","Yurii","Tetzlaff","12/26/1986"
"1986-08-28","Adin","Kleiser","8/28/1986"
"1986-07-03","Conor","Hofting","7/3/1986"
"1986-07-05","Petter","Serra","7/5/1986"
"1986-06-14","Jamaludin","Remmele","6/14/1986"
"1986-10-15","Vasilii","Karunanithi","10/15/1986"
"1986-07-15","Boutros","Lorys","7/15/1986"
"1986-08-07","Jiakeng","Suermann","8/7/1986"
"1986-09-16","Petter","Thummel","9/16/1986"
"1986-08-27","Kwok","Puoti","8/27/1986"
"1986-04-13","Lihong","Munke","4/13/1986"
"1986-08-10","Khue","Ramsak","8/10/1986"
"1986-04-09","Udo","Tetzlaff","4/9/1986"
"1986-04-12","Christoph","Stavenow","4/12/1986"
"1986-01-28","Yuichiro","Lund","1/28/1986"
"1986-05-04","Danel","Danecki","5/4/1986"
"1986-11-02","Kenroku","Piazza","11/2/1986"
"1986-05-31","Lijia","Selvestrel","5/31/1986"
"1986-05-14","Bodo","Bergere","5/14/1986"
"1986-11-02","Shridhar","Krychniak","11/2/1986"
"1986-04-12","Maik","Sevcikova","4/12/1986"
"1986-08-31","Temple","Alpin","8/31/1986"
"1986-03-01","Arnould","Farrar","3/1/1986"
"1986-11-22","Arco","Granlund","11/22/1986"
"1986-02-17","Quingbo","Leijenhorst","2/17/1986"
"1986-06-23","Wojceich","Benveniste","6/23/1986"
"1986-07-19","Charlene","Steenbeek","7/19/1986"
"1986-02-10","Fumino","Biran","2/10/1986"
"1986-10-26","Youssef","Zeidenstein","10/26/1986"
"1986-10-11","Danae","Hebert","10/11/1986"
"1986-11-08","Teruyuki","Angelov","11/8/1986"
"1986-07-06","Maren","Parascandalo","7/6/1986"
"1986-10-15","JoAnne","Caine","10/15/1986"
"1986-02-26","Jayson","Zumaque","2/26/1986"
"1986-05-04","Hilary","Ghazalie","5/4/1986"
"1986-11-25","Pradeep","Genther","11/25/1986"
"1986-10-09","Woody","Guerreiro","10/9/1986"
"1986-12-17","Kensei","Gist","12/17/1986"
"1986-12-28","Zvonko","Boguraev","12/28/1986"
"1986-01-26","Yongmin","Kusakabe","1/26/1986"
"1986-09-03","Lihong","Zwicker","9/3/1986"
"1986-02-16","Dietrich","Farrow","2/16/1986"
"1986-12-07","Rosalyn","Picaronny","12/7/1986"
"1986-06-29","Jingling","Schaaf","6/29/1986"
"1986-09-03","Wojceich","Bugaenko","9/3/1986"
"1986-02-27","Gill","Liesche","2/27/1986"
"1986-08-26","Yoshimitsu","Sgarro","8/26/1986"
"1986-02-05","Toong","Mitchem","2/5/1986"
"1986-10-12","Hercules","Ghalwash","10/12/1986"
"1986-08-05","Keiichiro","Szilard","8/5/1986"
"1986-03-25","Kellyn","Brookman","3/25/1986"
"1986-09-10","Monique","Radwan","9/10/1986"
"1986-12-11","Souichi","Fasbender","12/11/1986"
"1986-09-16","Xiping","Sewelson","9/16/1986"
"1986-07-16","Gil","Teitelbaum","7/16/1986"
"1986-09-30","Jaideep","Whittlesey","9/30/1986"
"1986-11-11","Hilari","Fairtlough","11/11/1986"
"1986-10-20","Zejun","Massonet","10/20/1986"
"1986-09-02","Amstein","Kugler","9/2/1986"
"1986-04-13","Atreyi","Rousseau","4/13/1986"
"1986-02-25","Behnaam","Docker","2/25/1986"
"1986-12-17","Duangkaew","Baaz","12/17/1986"
"1986-08-07","Shigehito","Matzat","8/7/1986"
"1986-06-01","Giordano","Bultermann","6/1/1986"
"1986-12-01","Ute","Ferriere","12/1/1986"
"1986-03-10","Fuqing","Valette","3/10/1986"
"1986-05-10","Avishai","Brodie","5/10/1986"
"1986-07-19","Vishwani","Thorensen","7/19/1986"
"1986-11-10","Shugo","Reghbati","11/10/1986"
"1986-02-16","Roselyn","Rosin","2/16/1986"
"1986-08-02","Ayakannu","Krogh","8/2/1986"
"1986-12-14","Qunsheng","Hanratty","12/14/1986"
"1986-03-07","Sven","Veccia","3/7/1986"
"1986-12-16","Ennio","Eterovic","12/16/1986"
"1986-01-28","Sadegh","Katalagarianos","1/28/1986"
"1986-01-31","Neelam","Camurati","1/31/1986"
"1986-04-04","Mani","Bolsens","4/4/1986"
"1986-08-05","Ohad","Sridhar","8/5/1986"
"1986-11-23","Suzette","Schneeberger","11/23/1986"
"1986-11-11","Mizuhito","Heping","11/11/1986"
